0x04 PID_ENGINE_LOAD
0x05 PID_COOLANT_TEMP
0x06 PID_SHORT_TERM_FUEL_TRIM_1
0x07 PID_LONG_TERM_FUEL_TRIM_1
0x08 PID_SHORT_TERM_FUEL_TRIM_2
0x09 PID_LONG_TERM_FUEL_TRIM_2
0x0A PID_FUEL_PRESSURE
0x0B PID_INTAKE_MAP
0x0C PID_RPM
0x0D PID_SPEED
0x0E PID_TIMING_ADVANCE
0x0F PID_INTAKE_TEMP
0x10 PID_MAF_FLOW
0x11 PID_THROTTLE
0x1E PID_AUX_INPUT
0x1F PID_RUNTIME
0x21 PID_DISTANCE_WITH_MIL
0x2C PID_COMMANDED_EGR
0x2D PID_EGR_ERROR
0x2E PID_COMMANDED_EVAPORATIVE_PURGE
0x2F PID_FUEL_LEVEL
0x30 PID_WARMS_UPS
0x31 PID_DISTANCE
0x32 PID_EVAP_SYS_VAPOR_PRESSURE
0x33 PID_BAROMETRIC
0x3C PID_CATALYST_TEMP_B1S1
0x3D PID_CATALYST_TEMP_B2S1
0x3E PID_CATALYST_TEMP_B1S2
0x3F PID_CATALYST_TEMP_B2S2
0x42 PID_CONTROL_MODULE_VOLTAGE
0x43 PID_ABSOLUTE_ENGINE_LOAD
0x45 PID_RELATIVE_THROTTLE_POS
0x46 PID_AMBIENT_TEMP
0x47 PID_ABSOLUTE_THROTTLE_POS_B
0x48 PID_ABSOLUTE_THROTTLE_POS_C
0x49 PID_ACC_PEDAL_POS_D
0x4A PID_ACC_PEDAL_POS_E
0x4B PID_ACC_PEDAL_POS_F
0x4C PID_COMMANDED_THROTTLE_ACTUATOR
0x4D PID_TIME_WITH_MIL
0x4E PID_TIME_SINCE_CODES_CLEARED
0x52 PID_ETHANOL_FUEL
0x59 PID_FUEL_RAIL_PRESSURE
0x5B PID_HYBRID_BATTERY_PERCENTAGE
0x5C PID_ENGINE_OIL_TEMP
0x5D PID_FUEL_INJECTION_TIMING
0x5E PID_ENGINE_FUEL_RATE
0x61 PID_ENGINE_TORQUE_DEMANDED
0x62 PID_ENGINE_TORQUE_PERCENTAGE
0x63 PID_ENGINE_REF_TORQUE
